File Type,Files Deleted,Files Created,Files Written,Directories Created,Opened REG keys,DLLs Loaded,Hosts,VirusTotal
3,0,0,0,0,2,7,3,41
0,0,0,0,0,15,10,3,57
5,0,5,4,1,2,12,4,62
5,0,2,1,0,1,7,3,47
6,0,0,0,0,15,18,0,0
3,0,0,0,0,2,5,3,42
2,0,0,0,0,1,19,4,61
6,0,0,0,0,4,1,0,0
5,0,5,4,1,2,12,4,61
6,0,0,0,1,186,16,0,0
6,0,0,0,2,143,37,0,0
0,0,0,0,0,9,17,51,58
6,0,0,1,0,3,3,0,0
1,0,1,0,2,272,13,4,56
5,0,2,1,0,1,8,4,39
4,0,0,0,0,0,2,3,41
3,0,0,0,0,2,7,3,41
6,0,0,0,0,0,1,0,0
6,0,0,0,0,36,32,0,0
0,0,0,0,0,3,9,3,56
4,0,0,0,0,2,0,4,39
5,0,5,4,1,2,12,3,59
2,0,0,0,0,2,11,3,52
6,0,13,1,7,61,45,0,0
0,0,0,0,0,5,16,3,52
4,0,0,0,0,0,0,3,37
0,0,0,0,0,9,20,3,54
2,0,0,0,0,1,19,3,59
6,0,0,0,0,0,0,0,0
6,0,1,1,0,0,10,0,0
6,2,5,3,8,287,35,0,0
6,0,0,0,0,8,7,0,0
4,0,0,0,0,0,0,3,59
6,0,0,0,0,13,2,0,0
6,1,69,66,12,0,20,0,0
5,0,5,4,1,2,12,3,66
6,0,4,4,4,287,25,0,0
6,0,0,0,1,185,15,0,0
2,0,0,0,0,9,18,4,57
1,0,1,0,2,272,13,5,53
6,2,4,1,2,334,50,0,0
5,0,5,4,1,2,9,3,43
1,1,14,12,6,325,35,6,55
3,0,0,0,0,2,5,4,41
5,0,5,4,1,2,12,4,48
1,1,8,8,1,208,41,4,59
0,0,0,0,0,0,1,4,58
4,0,0,0,0,0,1,3,41
6,0,0,0,1,186,16,0,0
1,0,5,5,0,7,6,5,51
6,4,14,9,11,298,21,0,0
3,0,0,0,0,2,7,2,41
6,0,24,19,20,13,14,0,0
6,0,0,0,0,5,9,0,0
2,0,0,0,0,1,16,3,58
6,0,43,45,28,228,67,0,0
5,0,5,4,1,2,12,3,66
5,0,5,4,1,2,12,3,61
6,1,6,5,1,36,57,0,0
1,0,1,0,2,272,13,3,52
3,0,0,0,0,2,7,3,40
5,0,5,4,1,2,12,3,39
1,0,1,0,2,272,13,5,53
3,0,0,0,0,2,7,3,41
1,0,15,13,12,468,18,3,56
